date,volume,open,high,low,close,adjclose
7/2/2020,6586000,2912.01001,2955.560059,2871.100098,2890.300049,2890.300049
7/1/2020,6363400,2757.98999,2895,2754,2878.699951,2878.699951
6/30/2020,3769700,2685.070068,2769.629883,2675.030029,2758.820068,2758.820068
6/29/2020,4223400,2690.01001,2696.800049,2630.080078,2680.379883,2680.379883
6/26/2020,6500800,2775.060059,2782.570068,2688,2692.870117,2692.870117
6/25/2020,2968700,2739.550049,2756.22998,2712.139893,2754.580078,2754.580078
6/24/2020,4526600,2780,2796,2721,2734.399902,2734.399902
6/23/2020,4231700,2726.02002,2783.110107,2718.040039,2764.409912,2764.409912
6/22/2020,3208800,2684.5,2715,2669,2713.820068,2713.820068
6/19/2020,5777000,2678.080078,2697.429932,2659,2675.01001,2675.01001
6/18/2020,2487800,2647.01001,2659.639893,2636.110107,2653.97998,2653.97998
6/17/2020,2951100,2647.5,2655,2631.820068,2640.97998,2640.97998
6/16/2020,3585600,2620,2620,2576,2615.27002,2615.27002
6/15/2020,3865100,2526.600098,2584,2508,2572.679932,2572.679932
6/12/2020,5429600,2601.209961,2621.47998,2503.350098,2545.02002,2545.02002
6/11/2020,5800100,2603.5,2671.379883,2536.22998,2557.959961,2557.959961
6/10/2020,4946000,2645,2722.350098,2626.26001,2647.449951,2647.449951
6/9/2020,5176000,2529.439941,2626.429932,2525,2600.860107,2600.860107
6/8/2020,3970700,2500.199951,2530,2487.340088,2524.060059,2524.060059
6/5/2020,3306400,2444.51001,2488.649902,2437.129883,2483,2483
6/4/2020,2948700,2477.429932,2507.540039,2450.01001,2460.600098,2460.600098
6/3/2020,2671000,2468.01001,2488,2461.169922,2478.399902,2478.399902
6/2/2020,2529900,2467,2473.530029,2445.310059,2472.409912,2472.409912
6/1/2020,2928900,2448,2476.929932,2444.169922,2471.040039,2471.040039
5/29/2020,3529300,2415.939941,2442.370117,2398.199951,2442.370117,2442.370117
5/28/2020,3190200,2384.330078,2436.969971,2378.22998,2401.100098,2401.100098
5/27/2020,5056900,2404.98999,2413.580078,2330,2410.389893,2410.389893
5/26/2020,3568200,2458,2462,2414.060059,2421.860107,2421.860107
5/22/2020,2867100,2455.01001,2469.850098,2430.129883,2436.879883,2436.879883
5/21/2020,5114400,2500,2525.449951,2442.540039,2446.73999,2446.73999
5/20/2020,3998100,2477.870117,2500.01001,2467.27002,2497.939941,2497.939941
5/19/2020,4320500,2429.830078,2485,2428.969971,2449.330078,2449.330078
5/18/2020,4366600,2404.350098,2433,2384.01001,2426.26001,2426.26001
5/15/2020,4235000,2368.52002,2411,2356.370117,2409.780029,2409.780029
5/14/2020,3648100,2361.01001,2391.370117,2353.209961,2388.850098,2388.850098
5/13/2020,4782900,2366.800049,2407.699951,2337.800049,2367.919922,2367.919922
